"","Day.No","Lat","Lon","km.Lat","km.Lon","SST","Plk","d13C","direction","distance","B.state","Depth","Rep","Month","count"
"1",1,20,-115,7659,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"N","0","F",-3572,1,1,1
"2",3,21,-116,7659,6694.78911603342,21.0270075210939,6.34240819971115,-23.9101607122564,"NW","-9.19110641931007","F",-3836,1,1,2
"3",4,22,-116,7651.67066155355,6656.24705798203,21.0270075210939,6.34240819971115,-23.9101607122564,"NE","8.61359511991822","F",-3836,1,1,3
"4",5,22,-116,7651.67066155355,6656.24705798203,20.1425125050701,6.25212900870331,-24.1668063576598,"N","0","F",-3844,1,1,4
"5",6,22,-116,7651.67066155355,6645.97231489711,20.1425125050701,6.25212900870331,-24.1668063576598,"W","10.274743084922","F",-3844,1,1,5
"6",2,21,-116,7659,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"N","0","F",-3572,2,1,1
"7",3,22,-116,7642.55107623986,6632.46879577545,21.0270075210939,6.34240819971115,-23.9101607122564,"NW","19.3311266035061","F",-3836,2,1,2
"8",4,22,-116,7642.55107623986,6632.46879577545,20.1425125050701,6.25212900870331,-24.1668063576598,"S","0","F",-3844,2,1,3
"9",5,21,-116,7667.39102693749,6653.38675918113,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","-29.1924407190932","F",-3844,2,1,4
"10",6,21,-116,7681.422129254,6639.35565686462,21.0270075210939,6.34240819971115,-23.9101607122564,"NE","-16.4896511906997","F",-3836,2,1,5
"11",2,21,-116,7659,6700.19002515284,22.3238796202376,8.19795984535147,-23.0312266019149,"E","5.40090911942569","F",-3572,3,1,1
"12",3,21,-115,7659,6717.973128677,21.0270075210939,6.34240819971115,-23.9101607122564,"W","-17.7831035241598","F",-3836,3,1,2
"13",4,22,-115,7655.73820668032,6671.94287982132,21.4448250549852,6.82449603226984,-23.6130229277553,"N","3.26179331967997","F",-3166,3,1,3
"14",5,22,-115,7655.73820668032,6671.94287982132,20.5880882747858,7.07027716225409,-23.8414153843219,"NE","0","F",-3522,3,1,4
"15",6,22,-115,7634.97263806801,6671.94287982132,20.5880882747858,7.07027716225409,-23.8414153843219,"N","20.7655686123113","F",-3522,3,1,5
"16",2,21,-116,7659,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"E","0","F",-3572,4,1,1
"17",3,22,-116,7639.2909934696,6648.91771953559,21.0270075210939,6.34240819971115,-23.9101607122564,"N","19.7090065303986","F",-3836,4,1,2
"18",4,22,-116,7639.2909934696,6648.91771953559,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","-32.6543210473335","F",-3844,4,1,3
"19",5,22,-116,7639.2909934696,6648.91771953559,20.1425125050701,6.25212900870331,-24.1668063576598,"NW","0","F",-3844,4,1,4
"20",6,22,-116,7628.30763037465,6648.91771953559,20.1425125050701,6.25212900870331,-24.1668063576598,"N","10.9833630949551","F",-3844,4,1,5
"21",2,21,-116,7659,6692.0535582688,22.3238796202376,8.19795984535147,-23.0312266019149,"E","-2.73555776461525","F",-3572,5,1,1
"22",3,21,-116,7659,6692.0535582688,21.0270075210939,6.34240819971115,-23.9101607122564,"NW","0","F",-3836,5,1,2
"23",4,21,-116,7700.09895918054,6692.0535582688,21.0270075210939,6.34240819971115,-23.9101607122564,"S","41.0989591805411","F",-3836,5,1,3
"24",5,21,-116,7700.09895918054,6692.0535582688,21.0270075210939,6.34240819971115,-23.9101607122564,"E","0","F",-3836,5,1,4
"25",6,21,-116,7700.09895918054,6697.80520256934,21.0270075210939,6.34240819971115,-23.9101607122564,"E","5.75164430054078","F",-3836,5,1,5
"26",2,21,-116,7663.60810970909,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"S","4.60810970908599","F",-3572,6,1,1
"27",3,22,-116,7654.54330392311,6657.98252532157,21.0270075210939,6.34240819971115,-23.9101607122564,"SW","-10.653153412361","F",-3836,6,1,2
"28",4,22,-116,7654.54330392311,6657.98252532157,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","0","F",-3844,6,1,3
"29",5,22,-116,7654.54330392311,6657.98252532157,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","0","F",-3844,6,1,4
"30",6,22,-116,7642.15799546687,6670.3678337778,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-14.555479086796","F",-3844,6,1,5
"31",2,21,-116,7659,6715.99574961967,22.3238796202376,8.19795984535147,-23.0312266019149,"W","-21.2066335862583","F",-3572,7,1,1
"32",3,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"W","7.07695373874051","F",-3836,7,1,2
"33",4,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"SE","0","F",-3836,7,1,3
"34",5,21,-116,7659,6708.91879588093,21.0270075210939,6.34240819971115,-23.9101607122564,"NW","14.8200588998336","F",-3836,7,1,4
"35",6,22,-115,7619.59463175448,6702.35595380291,21.0270075210939,6.34240819971115,-23.9101607122564,"SW","-46.310030584369","F",-3836,7,1,5
"36",2,22,-116,7636.48013289993,6626.39785243551,22.3238796202376,8.19795984535147,-23.0312266019149,"NW","26.4658289109813","F",-3572,8,1,1
"37",3,22,-116,7636.48013289993,6626.39785243551,20.1425125050701,6.25212900870331,-24.1668063576598,"S","0","F",-3844,8,1,2
"38",4,22,-116,7636.48013289993,6631.64478002299,20.1425125050701,6.25212900870331,-24.1668063576598,"E","5.24692758747161","F",-3844,8,1,3
"39",5,22,-116,7636.48013289993,6634.33352135011,20.1425125050701,6.25212900870331,-24.1668063576598,"W","-2.68874132712492","F",-3844,8,1,4
"40",6,22,-116,7636.48013289993,6634.33352135011,20.1425125050701,6.25212900870331,-24.1668063576598,"E","0","F",-3844,8,1,5
"41",2,21,-116,7659,6694.78911603342,22.3238796202376,8.19795984535147,-23.0312266019149,"S","0","F",-3572,9,1,1
"42",3,21,-116,7659,6694.78911603342,21.0270075210939,6.34240819971115,-23.9101607122564,"N","0","F",-3836,9,1,2
"43",4,22,-116,7653.05572802805,6648.91771953559,21.0270075210939,6.34240819971115,-23.9101607122564,"N","5.94427197194519","F",-3836,9,1,3
"44",5,22,-116,7641.19560757027,6660.77783999337,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","13.9382669313556","F",-3844,9,1,4
"45",6,22,-116,7634.48809532655,6667.48535223709,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-7.88281168231558","F",-3844,9,1,5
"46",2,22,-116,7637.89262407286,6648.91771953559,22.3238796202376,8.19795984535147,-23.0312266019149,"N","21.1073759271434","F",-3572,10,1,1
"47",3,22,-116,7637.89262407286,6648.91771953559,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","0","F",-3844,10,1,2
"48",4,22,-116,7629.76224406426,6657.04809954418,20.1425125050701,6.25212900870331,-24.1668063576598,"NE","9.55499627651312","F",-3844,10,1,3
"49",5,22,-116,7594.45124638271,6657.04809954418,20.1425125050701,6.25212900870331,-24.1668063576598,"S","-35.3109976815521","F",-3844,10,1,4
"50",6,22,-115,7569.21897370536,6682.28037222153,20.1425125050701,6.25212900870331,-24.1668063576598,"SW","-29.6535058908894","F",-3844,10,1,5
